dr2_source_id,dr3_source_id,kepid,ra_EDR3,dec_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,kic_dr2_ang_dist,edr3_dr2_mag_diff
2103314346067173504,2103314346067173504,4814502,283.99508,39.91701,0.048,-3.34,2.02,-8013.4,296.8,112.3,0.069,-0.009
2103318464937436416,2103318464937436416,4814309,283.92394,39.99256,0.4,-2.12,-3.14,-8006.0,317.8,119.3,0.048,-0.002
2102458371964692480,2102458371964692480,6764530,287.51417,42.29322,0.036,4.8,-1.86,-8033.5,293.7,100.9,0.107,-0.008
2103349496078696320,2103349496078696320,4816098,284.74968,39.94824,0.384,-2.08,-3.72,-8008.2,315.4,114.6,0.028,-0.004
2103351450286113408,2103351450286113408,4816200,284.8095,39.98611,0.034,0.37,2.97,-8011.9,306.1,111.6,0.013,-0.016
2102057810435877504,2102057810435877504,5264013,288.35215,40.4015,0.148,-3.16,-5.46,-8018.0,314.9,99.1,0.17,-0.014
2102476896165207168,2102476896165207168,7020022,287.18492,42.54878,0.23,-0.1,-3.05,-8031.6,302.8,105.3,0.058,-0.01
2102061516989607936,2102061516989607936,5263545,288.16724,40.47162,0.217,-2.27,-3.44,-8017.2,317.3,100.7,0.054,-0.003
2103381725513446016,2103381725513446016,5167899,284.99312,40.30436,0.183,-4.25,-2.42,-8013.8,306.7,111.6,0.061,-0.014
2103388047705329152,2103388047705329152,5167941,285.01717,40.38336,0.081,-2.02,0.07,-8002.1,341.4,121.9,0.046,-0.012
2102081518655563264,2102081518655563264,5437459,288.28462,40.63837,0.055,1.17,-8.04,-8026.1,293.7,94.6,0.067,-0.01
2103404987056588544,2103404987056588544,5080003,284.68516,40.28211,0.024,0.07,3.24,-8005.5,328.3,119.4,0.035,-0.007
2102097633373118848,2102097633373118848,5695850,288.70034,40.91729,0.066,-1.11,1.22,-8018.9,323.4,100.8,0.078,-0.016
2102937763335068544,2102937763335068544,7598549,288.72637,43.20253,0.026,2.0,-6.08,-8023.2,355.3,114.1,0.04,-0.012
2103448963226726144,2103448963226726144,5429163,284.68837,40.67622,0.407,-1.6,-2.1,-8015.3,307.1,113.7,0.066,0.006
2102111892664542080,2102111892664542080,5780861,288.56865,41.04795,0.024,-2.18,-3.13,-8003.7,372.8,114.1,0.05,0.005
2103452815812507392,2103452815812507392,5514252,284.55855,40.72642,0.037,-3.2,-7.46,-7999.2,353.6,128.6,0.054,-0.009
2103454877396849280,2103454877396849280,5429227,284.71632,40.69602,0.288,-0.6,-2.34,-8009.6,324.0,118.7,0.073,-0.013
2103456457944907776,2103456457944907776,5514871,284.89619,40.78091,0.402,-1.87,-2.11,-8015.0,310.9,114.1,0.077,-0.005
2101781077103808640,2101781077103808640,5956051,290.41109,41.29045,0.111,-1.95,-3.79,-8019.4,340.3,98.0,0.094,-0.015
2102959066373158144,2102959066373158144,7743830,288.33375,43.44173,0.128,-0.96,-3.03,-8039.3,299.7,101.5,0.011,-0.007
2102138929478224384,2102138929478224384,5694127,288.04132,40.98456,0.129,-2.62,-5.42,-8022.3,309.8,100.4,0.035,-0.007
2103497792709244544,2103497792709244544,4725292,283.70551,39.87049,0.345,-2.01,-2.73,-8003.7,320.8,121.0,0.025,-0.004
2102986107487506944,2102986107487506944,7812051,287.97231,43.51076,0.023,-6.01,-4.24,-8025.4,349.0,116.6,0.071,-0.01
2103021875975277184,2103021875975277184,8018827,287.98548,43.89053,0.034,1.88,-2.05,-8052.6,256.9,91.9,0.094,0.012
2103024246797101056,2103024246797101056,7949545,287.7505,43.73722,0.129,0.66,-3.29,-8038.3,305.6,106.0,0.09,-0.03
2103877364740680704,2103877364740680704,6187639,285.39332,41.51542,0.308,-1.17,-3.02,-8023.6,300.1,110.1,0.097,-0.011
2103033592646146560,2103033592646146560,8087381,287.84997,43.97859,0.104,0.34,-1.26,-8040.8,301.5,105.0,0.026,-0.012
2101855569017361280,2101855569017361280,6359802,290.35443,41.76914,0.042,-4.74,-0.88,-8025.2,330.0,97.0,0.106,-0.006
2103616952281732608,2103616952281732608,5428125,284.15774,40.60887,0.422,-1.81,-2.7,-8012.4,311.5,117.4,0.065,-0.005
2103624133467152896,2103624133467152896,5341666,283.93305,40.59116,0.288,-1.31,-3.85,-8007.2,324.6,122.5,0.155,-0.017
2103649044277731584,2103649044277731584,5686435,284.62256,40.97535,0.412,-1.4,-2.41,-8017.3,305.9,114.2,0.008,-0.014
2103105056600512256,2103105056600512256,8423087,288.84191,44.42269,0.069,1.06,-1.58,-8047.0,293.3,99.7,0.115,-0.009
2102692709683542400,2102692709683542400,6940035,289.08683,42.47167,0.067,1.47,-6.15,-8024.2,338.6,106.4,0.028,-0.015
2103978859108631040,2103978859108631040,6426507,285.55414,41.85669,0.266,-0.24,-1.96,-8021.2,314.5,114.3,0.075,-0.003
2103683300936702464,2103683300936702464,5685047,283.89675,40.91591,0.228,-3.13,-4.26,-8014.5,309.3,118.4,0.054,-0.005
2103714637018491136,2103714637018491136,5940165,283.89942,41.22159,0.043,-1.65,-4.03,-7999.6,358.1,134.4,0.036,-0.014
2103719309943016448,2103719309943016448,6023332,284.23117,41.3355,0.538,-1.38,-2.71,-8017.7,308.8,117.5,0.127,0.009
2102732292101973504,2102732292101973504,7354213,289.10629,42.97053,0.064,-3.38,-0.79,-8029.7,329.8,105.2,0.085,0.002
2103737241426734336,2103737241426734336,6184894,284.05667,41.57673,0.299,-0.92,-3.25,-8021.1,301.9,116.5,0.04,-0.028
2103746007460037632,2103746007460037632,5168890,285.4549,40.38525,0.028,-8.15,-4.04,-8017.8,299.1,107.5,0.037,-0.008
2103771158789451136,2103771158789451136,5516133,285.53091,40.7323,0.04,-0.55,-3.02,-8029.8,270.0,99.3,0.096,0.011
2102771599641078912,2102771599641078912,7439140,290.0699,43.04601,0.02,6.03,-1.33,-8038.6,305.8,95.3,0.092,0.0
2103796615056448384,2103796615056448384,5860441,285.9955,41.18543,0.351,-0.68,-3.02,-8016.7,318.7,112.2,0.03,-0.006
2102358355067054464,2102358355067054464,6111024,287.47626,41.45497,0.159,0.36,-2.52,-8015.4,336.6,111.0,0.059,-0.017
2081887063472822144,2081887063472822144,8331561,301.26317,44.2882,0.044,5.31,0.96,-8069.7,289.2,55.4,0.014,-0.026
2082119713259755648,2082119713259755648,8784119,301.2413,44.99909,0.077,3.44,-5.83,-8073.4,285.8,56.9,0.088,-0.019
2082142734285082368,2082142734285082368,8653134,300.43101,44.75101,0.244,4.68,-3.21,-8062.0,335.1,65.4,0.042,0.009
2075875792887385472,2075875792887385472,8197767,301.03962,44.03609,0.198,6.14,-4.11,-8058.8,339.6,61.5,0.383,-0.01
2076198224671929088,2076198224671929088,4175707,295.69885,39.26683,0.076,-2.37,-5.16,-8025.8,320.2,66.3,0.059,-0.022
2076200492414475136,2076200492414475136,4174717,295.51475,39.26911,0.038,4.07,-4.23,-8018.3,343.8,70.4,0.067,-0.0
2076206539729021952,2076206539729021952,4383431,295.95446,39.46593,0.025,-0.85,-3.2,-8016.7,356.7,70.9,0.043,-0.015
2076225265786580608,2076225265786580608,4670415,295.74964,39.7078,0.078,2.15,-2.74,-8030.0,314.5,66.4,0.005,-0.016
2076102154842836992,2076102154842836992,8327691,300.1361,44.2833,0.046,3.95,-0.58,-8069.5,278.5,57.6,0.015,-0.011
2075947501661405184,2075947501661405184,7919763,299.96247,43.69381,0.088,5.77,-4.4,-8050.6,359.0,67.0,0.061,-0.022
2076149223381269376,2076149223381269376,8651452,299.97581,44.70516,0.098,4.19,-4.19,-8056.2,359.5,70.3,0.026,0.004
2076155103200250240,2076155103200250240,8651471,299.98269,44.7133,0.084,3.54,-4.12,-8055.7,362.7,70.7,0.071,-0.021
2075994368346179840,2075994368346179840,7987781,299.8278,43.77695,0.087,0.52,-4.34,-8058.6,319.7,62.7,0.017,-0.02
2076299207945181824,2076299207945181824,5024254,295.29338,40.11482,0.024,4.23,-7.66,-8023.1,342.2,73.6,0.053,-0.012
2076565560327117696,2076565560327117696,5371597,294.3884,40.54296,0.069,-0.72,-2.82,-8027.2,328.9,76.5,0.117,-0.009
2076566183109063680,2076566183109063680,5371747,294.4312,40.59397,0.096,-2.1,-7.63,-8033.7,307.8,72.9,0.113,-0.0
2076916068323795712,2076916068323795712,6307077,297.63372,41.6624,0.029,2.92,0.89,-8046.1,307.0,63.2,0.112,-0.013
2076917442713332480,2076917442713332480,6385342,297.56824,41.74233,0.079,-0.63,-5.05,-8044.0,316.6,65.0,0.089,0.005
2077126483054638976,2077126483054638976,6878696,296.00205,42.33573,0.073,4.43,-2.39,-8044.7,312.6,72.0,0.058,-0.013
2076790552200353536,2076790552200353536,5980208,297.07379,41.22446,0.087,-0.77,-7.85,-8041.2,312.7,65.0,0.061,-0.013
2076969016682126080,2076969016682126080,6463047,297.37438,41.86263,0.069,2.82,-3.18,-8036.1,349.4,70.8,0.036,0.001
2077178782881876864,2077178782881876864,6965789,296.42214,42.4929,0.074,3.86,-4.52,-8038.1,346.7,76.2,0.043,0.005
2076839583548686336,2076839583548686336,6143078,297.01936,41.40145,0.023,8.34,-1.2,-8043.8,305.8,64.7,0.027,-0.011
2077213005182040320,2077213005182040320,7299869,296.71159,42.86419,0.064,2.36,-0.75,-8053.0,294.8,67.8,0.005,0.005
2076855801345072896,2076855801345072896,6222668,296.65508,41.53149,0.113,0.68,-4.55,-8042.9,308.9,66.8,0.003,0.005
2077231799959508864,2077231799960705792,7215936,296.12547,42.7088,0.022,4.83,-3.82,-8060.5,255.9,63.1,0.102,-0.003
2107142364518546688,2107142364518546688,9005114,284.66808,45.38317,0.037,-1.3,-6.83,-8043.9,299.9,119.8,0.019,-0.012
2077612883814892160,2077612883814892160,6370174,293.74259,41.78977,0.042,0.17,-4.34,-8049.2,268.3,71.1,0.026,-0.027
2077884428827603456,2077884428827603456,6876575,295.51338,42.31876,0.181,1.68,-5.68,-8044.6,308.4,73.1,0.109,0.007
2077417303879747712,2077417303879747712,6130409,293.92432,41.43881,0.127,1.06,-6.46,-8039.9,297.2,75.0,0.07,-0.026
2077668752749671424,2077668752749671424,6609270,292.73765,42.01478,0.021,-4.84,-1.18,-8033.0,324.8,86.4,0.151,-0.012
2078416283219985792,2078416283219985792,6545986,298.02316,41.99594,0.032,4.12,-0.41,-8054.8,280.9,59.1,0.06,0.002
2077322062990094592,2077322062990094592,5541919,294.22389,40.73378,0.031,2.34,-2.09,-8021.3,352.1,81.7,0.011,-0.012
2077322062990095104,2077322062990095104,5541914,294.22287,40.73557,0.033,2.39,-2.34,-8021.4,351.7,81.6,0.041,-0.014
2077807909689806848,2077807909689806848,7286410,293.17021,42.80738,0.137,0.92,-3.55,-8042.7,307.5,83.0,0.025,0.009
2116757765501471232,2116757765501471232,7255398,280.97222,42.88898,0.068,-1.45,-3.37,-8014.6,329.6,142.4,0.063,-0.012
