BJDTDB,FLUX,E_FLUX,BANDPASS
2459433.928646,0.99938,0.00093,g
2459433.929168,0.99732,0.00093,g
2459433.9297,1.00073,0.00093,g
2459433.930223,0.99871,0.00093,g
2459433.930748,0.99952,0.00093,g
2459433.931275,1.00087,0.00093,g
2459433.931797,1.00178,0.00094,g
2459433.93232,1.00049,0.00093,g
2459433.93285,1.00091,0.00094,g
2459433.933369,0.99905,0.00094,g
2459433.933899,1.0004,0.00094,g
2459433.934425,1.0026,0.00094,g
2459433.934943,1.00006,0.00094,g
2459433.93547,1.00186,0.00094,g
2459433.936,1.00104,0.00094,g
2459433.936526,0.99901,0.00094,g
2459433.937046,1.00143,0.00094,g
2459433.93757,1.00013,0.00094,g
2459433.938095,1.00159,0.00094,g
2459433.938628,1.00067,0.00094,g
2459433.93915,1.00035,0.00094,g
2459433.939672,0.99908,0.00094,g
2459433.940202,0.99973,0.00094,g
2459433.940725,0.99867,0.00094,g
2459433.941247,0.99905,0.00094,g
2459433.941776,1.0006,0.00094,g
2459433.9423,1.00171,0.00094,g
2459433.942826,1.00172,0.00094,g
2459433.943353,1.00205,0.00094,g
2459433.943882,1.00067,0.00094,g
2459433.944405,1.00007,0.00094,g
2459433.944929,1.00164,0.00094,g
2459433.945449,1.00105,0.00094,g
2459433.94598,1.00035,0.00094,g
2459433.946503,1.00062,0.00094,g
2459433.947025,1.00129,0.00095,g
2459433.94755,1.00033,0.00094,g
2459433.948073,1.00225,0.00095,g
2459433.948604,1.00271,0.00095,g
2459433.949127,1.00131,0.00095,g
2459433.949654,1.00185,0.00095,g
2459433.950175,1.0031,0.00095,g
2459433.950705,1.00123,0.00095,g
2459433.95123,1.00199,0.00095,g
2459433.951753,1.0035,0.00095,g
2459433.952285,1.00245,0.00095,g
2459433.952808,1.00319,0.00095,g
2459433.95333,1.00319,0.00095,g
2459433.953861,1.00283,0.00095,g
2459433.954386,1.00255,0.00095,g
2459433.954907,1.00175,0.00095,g
2459433.955435,1.00346,0.00095,g
2459433.955955,1.00151,0.00095,g
2459433.956485,1.00345,0.00096,g
2459433.957012,1.00307,0.00095,g
2459433.957532,1.00303,0.00095,g
2459433.958057,1.0037,0.00096,g
2459433.958587,1.0039,0.00096,g
2459433.959109,1.0018,0.00096,g
2459433.959634,1.00122,0.00096,g
2459433.960161,1.00235,0.00096,g
2459433.960683,1.0009,0.00096,g
2459433.961207,1.00158,0.00096,g
2459433.961736,1.00215,0.00096,g
2459433.962259,1.00261,0.00096,g
2459433.962786,1.0013,0.00096,g
2459433.963307,1.00146,0.00096,g
2459433.963836,1.00249,0.00096,g
2459433.964362,1.00194,0.00096,g
2459433.964883,1.00315,0.00096,g
2459433.965406,1.00209,0.00096,g
2459433.965933,1.00373,0.00096,g
2459433.966456,1.0024,0.00096,g
2459433.966985,1.00334,0.00096,g
2459433.967508,1.0028,0.00097,g
2459433.96803,1.00323,0.00097,g
2459433.968557,1.00114,0.00096,g
2459433.969081,1.00216,0.00097,g
2459433.969605,1.00074,0.00097,g
2459433.970656,1.00297,0.00097,g
2459433.971184,1.00206,0.00097,g
2459433.971704,1.00191,0.00097,g
2459433.972234,1.00214,0.00097,g
2459433.97278,1.00195,0.00097,g
2459433.973308,1.00467,0.00098,g
2459433.973829,1.00228,0.00097,g
2459433.974351,1.002,0.00097,g
2459433.974879,1.00126,0.00097,g
2459433.975405,1.00094,0.00097,g
2459433.975928,1.00194,0.00097,g
