dr2_source_id,dr3_source_id,kepid,ra_EDR3,dec_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,kic_dr2_ang_dist,edr3_dr2_mag_diff
2126672852125705216,2126672852125705216,9087249,291.2584,45.4392,0.11788,2.7294,-5.1942,-8059.42,278.59,89.25,0.055,0.001
2128039373280457472,2128039373280457472,9221678,293.1978,45.6617,0.02755,0.6942,1.749,-8060.69,292.25,86.21,0.074,0.002
2128053392054482688,2128053392054482688,9406987,293.0167,45.9815,0.02288,4.7506,0.5119,-8056.53,318.62,93.58,0.047,-0.017
2128080536248155776,2128080536248155776,9591182,293.1299,46.2629,0.14517,4.1253,-1.6351,-8064.07,289.45,87.14,0.14,-0.0
2128496529598795648,2128496529598795648,10471960,292.5362,47.602,0.24936,3.5193,-3.0262,-8070.35,285.21,91.01,0.025,-0.028
2102391512214758144,2102391512214758144,6352430,287.7407,41.7759,0.07961,0.8352,-5.6014,-8014.52,347.59,113.37,0.133,0.009
2103300877049828736,2103300877049828736,4726192,284.1029,39.8058,0.41864,-2.2611,-2.7276,-8006.29,314.85,117.21,0.059,-0.012
2103305034578025728,2103305034578025728,4633285,283.9185,39.7489,0.26309,-2.0748,-1.2544,-8006.77,311.69,117.0,0.016,-0.004
2103307611556131584,2103307611556131584,4725882,283.961,39.8254,0.02516,4.387,-5.6564,-8001.34,327.91,121.94,0.917,-0.01
2103308126954515712,2103308126954515712,4725913,283.9731,39.8661,0.38508,-1.0946,-3.2,-8010.56,303.55,114.44,0.081,-0.001
2103312421921812736,2103312421921812736,4814229,283.8917,39.9432,0.34257,-2.5638,-3.4344,-8006.48,315.5,118.65,0.022,-0.025
2103312593720517888,2103312593720517888,4814290,283.9181,39.9916,0.40575,-2.0543,-3.5468,-8007.35,314.06,118.17,0.064,-0.019
2103314346067173504,2103314346067173504,4814502,283.9951,39.917,0.04816,-3.3393,2.0214,-8013.37,296.78,112.34,0.069,-0.009
2103318464937436416,2103318464937436416,4814309,283.9239,39.9926,0.40041,-2.1162,-3.1407,-8006.01,317.77,119.29,0.048,-0.002
2102458371964692480,2102458371964692480,6764530,287.5142,42.2932,0.03602,4.7998,-1.8595,-8033.53,293.71,100.92,0.107,-0.008
2103349496078696320,2103349496078696320,4816098,284.7497,39.9482,0.38417,-2.0808,-3.7188,-8008.17,315.39,114.61,0.028,-0.004
2103351450286113408,2103351450286113408,4816200,284.8095,39.9861,0.03418,0.3675,2.9707,-8011.86,306.09,111.65,0.013,-0.016
