dr3_source_id,ra_EDR3,dec_EDR3,parallax_EDR3,ruwe_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,(BP-RP)0,(M_G)0,cluster,Prot_Adopted,Prot_TESS,Prot_ZTF,Prot_Confused
2081575901680300672,304.04326,45.23621,2.9624,1.018,0.628,5.34,-3.85,-8073.1,332.4,53.5,2.762,9.72,RSG-5,,,,0
2081677125469997824,304.43916,45.54246,2.8239,1.179,0.344,5.22,-3.32,-8073.2,349.1,54.7,2.769,8.979,RSG-5,11.054,,11.054,0
2082390639798108416,303.25771,45.57372,2.9493,0.979,0.668,5.34,-3.4,-8072.8,333.5,57.5,2.776,10.106,RSG-5,,,,0
2082717057311938176,301.56771,46.51458,2.8647,1.004,0.263,4.5,-3.28,-8072.5,342.4,67.6,2.806,10.054,RSG-5,,,,0
2081866000953158272,301.39482,44.04718,3.0446,0.947,0.246,4.86,-3.49,-8063.1,321.0,58.0,2.815,9.806,RSG-5,,,,0
2082000381889482240,301.93496,44.64473,2.9661,1.064,0.374,4.92,-3.18,-8065.7,330.2,58.9,2.823,9.798,RSG-5,,,,0
2081680694576575360,304.25857,45.61562,3.0079,0.99,0.534,5.34,-3.26,-8076.2,327.7,53.5,2.838,9.993,RSG-5,,,,0
2081730172600231936,304.26324,45.76524,2.9145,1.021,0.518,5.13,-3.16,-8075.4,338.2,55.0,2.838,9.007,RSG-5,,,,0
2081977567022885632,302.89433,45.02023,2.9303,0.99,0.55,5.16,-3.34,-8068.9,335.1,57.2,2.84,9.615,RSG-5,,,,0
2069175330362054400,305.78028,43.216,2.8941,1.028,0.189,4.43,-3.86,-8066.0,340.4,41.3,2.842,11.234,RSG-5,,,,0
2081752373298678528,303.90074,46.07228,2.8323,1.047,0.35,5.48,-3.01,-8074.8,347.9,58.4,2.851,9.624,RSG-5,,,,0
2081602869772235264,303.19523,45.09142,3.0359,0.946,0.439,5.26,-3.73,-8071.8,323.7,55.1,2.852,10.06,RSG-5,,,,0
2076020653541477888,300.4341,43.55073,2.934,1.03,0.242,4.24,-3.36,-8056.3,332.0,61.3,2.852,9.54,RSG-5,,,,0
2081980552014790784,302.789,45.05211,2.8275,0.987,0.306,5.06,-3.5,-8066.9,347.3,59.0,2.853,9.911,RSG-5,,,,0
2082400943415898624,303.34967,45.76138,2.9308,1.046,0.632,5.33,-3.73,-8073.7,335.7,58.0,2.854,9.788,RSG-5,,,,0
2081612009459908736,303.25142,45.28111,2.8948,1.013,0.46,4.88,-3.17,-8070.4,339.6,57.2,2.856,10.092,RSG-5,,,,0
2068694263964563840,304.42259,42.38654,2.8127,1.045,0.21,3.66,-3.98,-8056.8,348.7,44.0,2.864,9.335,RSG-5,,,,0
2081547383097150848,304.05039,44.75564,2.9608,1.006,0.488,4.82,-3.37,-8070.8,332.4,51.9,2.871,9.16,RSG-5,3.205,,3.205,0
2081627780580252288,303.6791,45.40992,2.8909,0.991,0.314,3.83,-3.3,-8072.0,340.4,56.2,2.873,11.44,RSG-5,,,,0
2081831396391091072,302.19882,44.09045,2.9155,1.082,0.34,4.82,-3.17,-8062.5,335.9,56.9,2.885,10.381,RSG-5,,,,0
2082015461508844416,302.06763,45.01755,2.8637,0.918,0.313,4.91,-3.5,-8065.9,342.3,61.0,2.886,9.87,RSG-5,,,,0
2082371604502327040,302.69705,45.36955,3.0684,0.972,0.349,4.59,-3.21,-8072.6,320.1,57.3,2.887,10.233,RSG-5,,,,0
2081678706018007808,304.43184,45.6233,2.9534,0.983,0.508,5.77,-3.81,-8075.7,333.8,53.5,2.893,10.297,RSG-5,,,,0
2081215639824808064,302.94528,44.67899,2.8668,0.989,0.301,4.48,-2.84,-8066.2,342.4,56.7,2.896,9.971,RSG-5,,,,0
2081540614228403584,303.81854,44.83704,2.9762,1.101,0.369,4.17,-3.22,-8070.9,330.5,52.8,2.906,10.212,RSG-5,,,,0
2082399328505622912,303.45973,45.78688,3.012,0.973,0.537,5.23,-3.62,-8075.3,326.7,56.7,2.908,10.197,RSG-5,,,,0
2074949346957260416,302.35171,42.63774,2.9734,1.015,0.225,5.34,-3.92,-8056.8,328.6,51.0,2.909,10.321,RSG-5,,,,0
2081755396955952896,304.30308,45.88992,2.9155,1.031,0.569,5.78,-3.85,-8076.2,338.2,55.3,2.91,10.107,RSG-5,,,,0
2081163030760529792,302.87896,44.09469,2.9009,0.931,0.32,4.53,-3.6,-8063.7,338.1,54.6,2.921,10.142,RSG-5,,,,0
2081686260857492992,304.91115,45.5743,2.9013,1.086,0.443,5.71,-3.28,-8075.8,340.1,52.3,2.922,10.63,RSG-5,,,,0
2081603556963811328,303.12977,45.11492,3.062,1.0,0.385,4.64,-3.48,-8072.2,320.9,55.1,2.923,10.251,RSG-5,,,,0
2075928157118463872,300.23828,43.45764,2.9964,0.991,0.163,5.99,-2.52,-8056.8,324.9,60.9,2.934,10.68,RSG-5,,,,0
2080915709365504128,303.93437,43.65497,3.0266,1.152,0.247,4.75,-2.64,-8066.3,324.5,48.2,2.942,10.285,RSG-5,,,,0
2081987050301280256,302.36511,44.95071,2.9693,0.988,0.423,4.54,-3.15,-8068.2,330.3,58.3,2.943,10.802,RSG-5,,,,0
