module,output,row,column,ra,dec
18,2,1038,1106,294.0570,45.9900
18,3,25,17,294.7032,47.6417
18,3,25,1106,295.5818,46.5982
18,3,535,550,294.4227,46.8502
18,3,1038,17,293.2818,47.0722
18,3,1038,1106,294.1781,46.0389
18,4,25,17,296.4346,45.5373
18,4,25,1106,295.5905,46.5876
18,4,535,550,295.3207,45.7753
18,4,1038,17,295.0499,44.9883
18,4,1038,1106,294.1870,46.0284
19,1,25,17,295.5461,41.9056
19,1,25,1106,294.7339,42.9480
19,1,535,550,295.8166,42.6947
19,1,1038,17,296.8646,42.4501
19,1,1038,1106,296.0679,43.5026
19,2,25,17,293.8859,43.9953
19,2,25,1106,294.7255,42.9585
19,2,535,550,294.9723,43.7725
19,2,1038,17,295.2347,44.5600
19,2,1038,1106,296.0598,43.5132
19,3,25,17,296.7336,45.1545
19,3,25,1106,297.5400,44.0978
19,3,535,550,296.4394,44.3677
19,3,1038,17,295.3558,44.6084
19,3,1038,1106,296.1790,43.5606
19,4,25,17,298.3250,43.0245
19,4,25,1106,297.5480,44.0871
19,4,535,550,297.2651,43.2790
19,4,1038,17,296.9819,42.4964
19,4,1038,1106,296.1872,43.5500
20,1,25,17,295.8093,41.4634
20,1,25,1106,297.2194,42.0467
20,1,535,550,296.8591,41.2577
20,1,1038,17,296.5320,40.4866
20,1,1038,1106,297.9283,41.0610
20,2,25,17,298.6702,42.6176
20,2,25,1106,297.2338,42.0525
20,2,535,550,298.3197,41.8457
20,2,1038,17,299.3633,41.6239
20,2,1038,1106,297.9425,41.0668
20,3,25,17,300.0918,40.5385
20,3,25,1106,298.6886,39.9907
20,3,535,550,299.0644,40.7737
20,3,1038,17,299.4231,41.5371
20,3,1038,1106,298.0033,40.9813
20,4,25,17,297.2937,39.4211
20,4,25,1106,298.6745,39.9851
20,4,535,550,297.6201,40.1957
20,4,1038,17,296.5936,40.4026
20,4,1038,1106,297.9891,40.9756
22,1,25,17,295.0577,48.2751
22,1,25,1106,294.1395,49.3145
22,1,535,550,295.3565,49.0649
22,1,1038,17,296.5322,48.8216
22,1,1038,1106,295.6356,49.8734
22,2,25,17,293.1729,50.3571
22,2,25,1106,294.1301,49.3250
22,2,535,550,294.4000,50.1401
22,2,1038,17,294.6895,50.9286
22,2,1038,1106,295.6263,49.8840
22,3,25,17,296.3762,51.5252
22,3,25,1106,297.2873,50.4680
22,3,535,550,296.0447,50.7380
22,3,1038,17,294.8188,50.9763
22,3,1038,1106,295.7535,49.9305
22,4,25,17,298.1662,49.3929
22,4,25,1106,297.2963,50.4573
22,4,535,550,296.9758,49.6495
22,4,1038,17,296.6572,48.8669
22,4,1038,1106,295.7627,49.9199
23,1,25,17,297.0928,45.7880
23,1,25,1106,296.2559,46.8427
23,1,535,550,297.4061,46.5728
23,1,1038,17,298.5179,46.3108
23,1,1038,1106,297.7014,47.3765
23,2,25,17,295.3774,47.9019
23,2,25,1106,296.2473,46.8534
23,2,535,550,296.5361,47.6636
23,2,1038,17,296.8426,48.4470
23,2,1038,1106,297.6930,47.3873
23,3,25,17,298.4717,49.0165
23,3,25,1106,299.2973,47.9455
23,3,535,550,298.1268,48.2348
23,3,1038,17,296.9719,48.4932
23,3,1038,1106,297.8196,47.4323
23,4,25,17,300.0963,46.8577
23,4,25,1106,299.3055,47.9347
23,4,535,550,298.9723,47.1320
23,4,1038,17,298.6419,46.3546
23,4,1038,1106,297.8280,47.4216
24,1,25,17,298.9530,43.2680
24,1,25,1106,298.1845,44.3351
24,1,535,550,299.2760,44.0479
24,1,1038,17,300.3317,43.7701
24,1,1038,1106,299.5821,44.8472
24,2,25,17,297.3801,45.4080
24,2,25,1106,298.1766,44.3459
24,2,535,550,298.4784,45.1515
24,2,1038,17,298.7961,45.9300
24,2,1038,1106,299.5744,44.8581
24,3,25,17,300.3664,46.4763
24,3,25,1106,301.1221,45.3944
24,3,535,550,300.0142,45.6995
24,3,1038,17,298.9209,45.9745
24,3,1038,1106,299.6971,44.9014
24,4,25,17,301.8556,44.2964
24,4,25,1106,301.1295,45.3834
24,4,535,550,300.7893,44.5852
24,4,1038,17,300.4521,43.8124
24,4,1038,1106,299.7048,44.8906
